abadejo	abadejos
abadesa	abadesas
abadía	abadías
abalanzar	abalanzarles|abalances|abalánzala|abalanzase|abalanzada|abalanzabas|abalanzasen|abaláncese|abalánzanos|abalanzarle|abalanzándote|abalanzarme|abalanzarlos|abalánzate|abalanzaba|abalancémoos|abalanzarán|abalanzándose|abalanzasteis|abalanzarían|abalanzáramos|abalanzarías|abalancémoslo|abalanzaos|abalancémonos|abalanzaréis|abalanzarse|abalanzaseis|abalanzándola|abaláncelos|abalanzaríais|abalanzándolo|abalanzabais|abalance|abalánzalo|abalanzaré|abalancémoste|abalancémosle|abalancémosla|abalanzaríamos|abaláncense|abalanzado|abalanzaros|abaláncela|abalanzareis|abalancemos|abalanzarais|abalanzándonos|abalancémoslos|abalanzadlo|abalanzó|abalanzadla|abaláncenles|abalanzaras|abalanzándole|abalanzarlas|abalanzásemos|abalanzábamos|abalanzarás|abalánzame|abalanzadles|abalanzamos|abalanzas|abalanzáremos|abalánzalos|abalanzadlos|abalanzándome|abalanzadlas|abalanzaste|abalanzad|abalanzadnos|abaláncelas|abalanzadas|abalanzando|abalanzan|abalánceme|abalanzados|abaláncenlos|abalanzándolos|abalancémoslas|abaláncele|abalancémosles|abalanzarlo|abalanzaron|abalancés|abaláncennos|abalanza|abaláncenla|abalanzarnos|abaláncenlo|abalanzaban|abalanzándolas|abalanzara|abalánzales|abalanzándoos|abalanzará|abalanzadme|abalanzáis|abalanzares|abalánzalas|abalanzaren|abalanzaremos|abalanzás|abaláncenle|abaláncenme|abalanzá|abalanzare|abalancen|abalanzaran|abalanzarte|abalanzaría|abaláncelo|abalancéis|abalancé|abalánzale|abalánceles|abaláncenlas|abalanzo|abalanzándoles|abalanzarla|abalanzases|abalanzadle|abaláncenos
abalear	abaleo|abaleadas|abaleaste|abaleare|abalearéis|abaleen|abaleás|abaleó|abaleemos|abaleaseis|abaleábamos|abalearán|abaleas|abaleasen|abaleáis|abalearemos|abalease|abaleaban|abalearon|abalearíais|abaleáremos|abaleasteis|abaleaba|abaleabas|abalea|abaleabais|abaleéis|abaleares|abaleara|abalean|abalearás|abaleases|abaleá|abaleado|abalearía|abalearen|abaleé|abalearas|abaleareis|abaleará|abalee|abalearíamos|abaleáramos|abalearían|abaleando|abalearais|abaleados|abaleásemos|abalees|abaleés|abalearan|abaleada|abaleamos|abalead|abalearías|abalearé
abanar	abanarlos|abanaras|abanare|abanándolo|abanémoste|abanadnos|abanémosles|abánela|abáneme|abanaré|abanase|abanadle|abánenlas|abanamos|abánenlo|abanabas|abánenlos|abanarían|abánalas|abanémonos|abanaba|abánenla|abanadlo|abánele|abanas|abanadas|abanémosle|abánenles|abanaron|abanábamos|abanándome|abánelos|abanes|abanémoslas|abanarme|abanarle|abanarlo|abanaren|abanándoos|abanaríamos|abanasteis|abánenle|abanarais|abanaos|abánennos|abanadlos|abanáramos|abano|abane|abanaréis|abanado|abanadlas|abánalos|abanadla|abanareis|abanarlas|abanáremos|abáname|abánenos|abanares|abanáis|abané|abánese|abanémoslo|abaná|abanarán|abanásemos|abana|abanémoslos|abanémosla|abanan|abanó|abánelas|abanarles|abanaban|abanadme|abanaseis|abanases|abanando|abanaste|abanarte|abanándolos|abanarse|abánala|abanaríais|abanándote|abáneles|abanarás|abanándonos|abanándoles|abánate|abanad|abanaremos|abánales|abanabais|abanados|abanemos|abánanos|abanaros|abánale|abánense|abanadles|abanaría|abanaran|abanarla|abanándose|abanarnos|abanándole|abanasen|abanéis|abanándola|abanará|abanen|abanémoos|abanándolas|abanada|abanás|abanarías|abanés|abánalo|abánelo|abánenme|abanara
abanderado	abanderados|abanderada|abanderadas
abanderizar	abanderízalos|abanderizadlos|abandericémosla|abanderíceme|abanderízanos|abanderizaremos|abanderizábamos|abanderizá|abanderiza|abanderizándote|abanderizadme|abanderícele|abanderice|abanderizando|abanderizándolas|abanderizándolos|abandericémosles|abanderizados|abanderizáramos|abanderizándose|abanderizadlo|abanderícelo|abanderizamos|abanderizaríais|abanderizarle|abanderizarlo|abanderizásemos|abanderizarla|abanderícela|abanderizas|abanderícenla|abanderizase|abanderizarse|abanderizaría|abanderízate|abanderizáis|abanderizarlas|abanderizadles|abanderíceles|abanderizareis|abanderizarán|abanderizaban|abanderizándome|abanderizadas|abanderizarás|abanderizaríamos|abanderizarnos|abanderizaba|abanderizaos|abanderizada|abanderizaste|abanderícense|abanderizaran|abandericés|abanderizan|abanderizándoos|abanderizadlas|abanderícenle|abanderizarte|abanderízalo|abanderizadla|abanderizaseis|abandericéis|abandericémoslas|abanderizaras|abanderizad|abandericen|abanderizarlos|abanderizarles|abanderícenlos|abandericémosle|abanderizará|abanderizándole|abanderices|abanderizares|abanderízame|abandericémoos|abanderícelas|abanderizáremos|abanderizándoles|abanderícennos|abanderizare|abanderizándolo|abanderizaron|abanderizasen|abanderizarías|abanderizadnos|abanderizadle|abanderizó|abanderizasteis|abanderizarían|abanderizara|abandericemos|abanderizabas|abandericé|abanderízale|abanderizaré|abanderícenme|abandericémoslos|abanderizabais|abanderízala|abanderizás|abanderícese|abanderícenlas|abanderizándola|abanderizándonos|abanderícelos|abanderícenos|abanderizado|abanderícenlo|abandericémoslo|abanderizaros|abanderizaréis|abanderizaren|abanderizo|abanderícenles|abanderízales|abandericémoste|abandericémonos|abanderizases|abanderizarme|abanderízalas|abanderizarais
abandonado	abandonada|abandonadas|abandonados
abandonamiento	abandonamientos
abandonar	abandonémosles|abandonadles|abandonadlo|abandonaren|abandonés|abandóname|abandonarla|abandónala|abandonémosla|abandonarías|abandonarme|abandónenlo|abandonéis|abandonándonos|abandónenles|abandonáis|abandonarían|abandónate|abandonémonos|abandonemos|abandonando|abandonados|abandonaréis|abandono|abandónele|abandonases|abandóneles|abandónela|abandónese|abandonándolas|abandónennos|abandonasteis|abandónenlos|abandonasen|abandónelo|abandonaros|abandonémoslos|abandónalo|abandonareis|abandonémoslas|abandonarán|abandónense|abandonaban|abandónenme|abandonabais|abandonándome|abandónelos|abandonarlo|abandónanos|abandonad|abandonares|abandonándole|abandonaba|abandonarles|abandónelas|abandonáramos|abandonabas|abandónenos|abandonen|abandonaste|abandónenle|abandonaras|abandonémosle|abandónalos|abandonáremos|abandonábamos|abandonémoslo|abandones|abandonándolo|abandonas|abandonase|abandonaríamos|abandonaseis|abandónale|abandonémoos|abandonaré|abandonaríais|abandonadlas|abandonadas|abandonaremos|abandoná|abandoné|abandonándola|abandonamos|abandona|abandonaría|abandonó|abandonaron|abandónenlas|abandonás|abandónalas|abandonándoles|abandonará|abandonado|abandone|abandónales|abandonándose|abandonaos|abandonadla|abandonarás|abandonarte|abandonadlos|abandónenla|abandonadnos|abandonara|abandonarais|abandóneme|abandonadle|abandonare|abandonaran|abandonarlas|abandonarse|abandonada|abandonarnos|abandonándolos|abandonándote|abandonadme|abandonarle|abandonásemos|abandonándoos|abandonan|abandonarlos|abandonémoste
